"timestamp","x","y","z"
"152489460","-2.9541383","1.3015772","9.263643"
"162378340","-2.954139","1.3015776","9.263641"
"172267220","-2.9541383","1.3015772","9.263643"
"182156100","-2.954139","1.3015776","9.263641"
"192044980","-2.9541383","1.3015772","9.263643"
"201926109","-2.954139","1.3015776","9.263641"
"211807238","-2.9541383","1.3015772","9.263643"
"221688367","-2.954139","1.3015776","9.263641"
"231569496","-2.9541383","1.3015772","9.263643"
"241458376","-2.954139","1.3015776","9.263641"
"251347256","-2.9541383","1.3015772","9.263643"
"261236136","-2.9563901","1.2904397","9.2644825"
"271125016","-2.9581363","1.2791059","9.265496"
"281013646","-2.9604316","1.2670861","9.266416"
"290902276","-2.9599152","1.2591465","9.267662"
"300790906","-2.9574163","1.2623168","9.268028"
"310679536","-2.950275","1.2720295","9.268976"
"320568416","-2.9366176","1.2813295","9.272033"
"330457296","-2.9199557","1.2857544","9.276681"
"340346176","-2.9071991","1.27994","9.28149"
"350235056","-2.9026146","1.2617936","9.285409"
"360123936","-2.9036224","1.2386158","9.288214"
"370012816","-2.9048045","1.2120081","9.291354"
"379901696","-2.9071999","1.1728432","9.29563"
"389790576","-2.919435","1.1192967","9.298397"
"399679456","-2.9431248","1.0560789","9.298324"
"409568336","-2.9722507","0.98580205","9.296775"
"419457216","-2.9879916","0.94569135","9.295897"
"429346096","-3.0038533","0.8977534","9.295537"
"439234976","-3.0101593","0.8520052","9.297803"
"449123856","-3.0214226","0.79873186","9.298879"
"459012736","-3.047181","0.73192674","9.295971"
"468901616","-3.0620284","0.6427503","9.297686"
"478790246","-3.0829086","0.5266215","9.298088"
"488678876","-3.1264029","0.38969323","9.29031"
"498567506","-3.1856747","0.22528116","9.275604"
"508456136","-3.2594092","0.027825743","9.252652"
"518337515","-3.3488991","-0.20306598","9.218446"
"528218894","-3.4541504","-0.4642045","9.170032"
"538100273","-3.5726652","-0.75662607","9.104927"
"547981652","-3.7022521","-1.0878903","9.019198"
"557878033","-3.8422341","-1.4622488","8.907029"
"567774414","-3.9930546","-1.8735231","8.7625065"
"577670795","-4.1550417","-2.3117704","8.580645"
"587567175","-4.329218","-2.7642524","8.357804"
"597456055","-4.516689","-3.2148695","8.093223"
"607344935","-4.7171755","-3.6488042","7.789133"
"617233815","-4.928534","-4.051041","7.4521627"
"627122695","-5.1546407","-4.4011855","7.0919213"
"637003824","-5.4026318","-4.6781225","6.7203317"
"646884954","-5.6706247","-4.8711762","6.352305"
"656766083","-5.948007","-4.978959","6.0056043"
"666647212","-6.2233405","-5.0135064","5.6895432"
"676536092","-6.4911647","-4.991087","5.402773"
"686424972","-6.750143","-4.9226747","5.1418824"
"696313852","-7.004322","-4.823819","4.889412"
"706202732","-7.257801","-4.702692","4.6308875"
"716091362","-7.511382","-4.569435","4.351497"
"725979992","-7.761765","-4.4350457","4.039986"
"735868622","-8.003464","-4.3060436","3.6930573"
"745757252","-8.23258","-4.1840544","3.3097475"
"755653882","-8.444416","-4.069262","2.8929327"
"765550513","-8.634883","-3.9582798","2.4509058"
"775447144","-8.802287","-3.8447332","1.9934618"
"785343775","-8.94223","-3.7287464","1.5391816"
"795224904","-9.060181","-3.5985448","1.095312"
"805106033","-9.167607","-3.4262807","0.6720844"
"814987162","-9.267243","-3.2049942","0.28693402"
"824868291","-9.359022","-2.9397826","-0.050146874"
"834757171","-9.444846","-2.630885","-0.33081764"
"844646051","-9.52557","-2.2804275","-0.5470729"
"854534931","-9.599107","-1.8978927","-0.7009266"
"864423811","-9.662081","-1.496052","-0.8013599"
"874304940","-9.710964","-1.086619","-0.8675141"
"884186070","-9.741179","-0.68309104","-0.9375056"
"894067199","-9.749349","-0.2979637","-1.0476469"
"903948328","-9.733855","0.054116618","-1.2186989"
"913837208","-9.695007","0.34931597","-1.4563358"
"923726088","-9.635327","0.5633483","-1.7547761"
"933614968","-9.558646","0.6781416","-2.099645"
"943503848","-9.46989","0.685768","-2.4671884"
